id_1,id_2,id_3,id_4,id_5,id_6,id_7,id_8,id_9
0.085,-0.299,-0.143,-0.791,-0.443,-0.43,-0.399,-0.277,-0.489
0.084,-0.309,-0.145,-0.807,-0.457,-0.436,-0.408,-0.278,-0.501
0.092,-0.304,-0.146,-0.807,-0.462,-0.437,-0.413,-0.283,-0.496
0.102,-0.307,-0.148,-0.816,-0.466,-0.44,-0.426,-0.282,-0.507
0.102,-0.315,-0.15,-0.825,-0.476,-0.452,-0.431,-0.285,-0.522
0.11,-0.312,-0.143,-0.821,-0.483,-0.457,-0.432,-0.29,-0.52
0.111,-0.323,-0.142,-0.828,-0.496,-0.461,-0.445,-0.289,-0.529
0.119,-0.317,-0.145,-0.837,-0.494,-0.465,-0.452,-0.284,-0.529
0.12,-0.318,-0.147,-0.846,-0.503,-0.469,-0.455,-0.295,-0.539
0.128,-0.322,-0.139,-0.847,-0.509,-0.47,-0.458,-0.287,-0.536
0.128,-0.323,-0.141,-0.857,-0.523,-0.476,-0.471,-0.29,-0.548
0.128,-0.326,-0.141,-0.866,-0.528,-0.487,-0.477,-0.302,-0.554
0.136,-0.331,-0.134,-0.859,-0.533,-0.484,-0.481,-0.295,-0.557
0.144,-0.324,-0.136,-0.857,-0.539,-0.487,-0.486,-0.29,-0.556
0.138,-0.325,-0.136,-0.862,-0.543,-0.491,-0.491,-0.299,-0.566
0.144,-0.33,-0.13,-0.861,-0.549,-0.494,-0.495,-0.295,-0.565
0.143,-0.331,-0.133,-0.873,-0.563,-0.5,-0.499,-0.298,-0.576
0.153,-0.325,-0.123,-0.872,-0.562,-0.502,-0.504,-0.289,-0.576
0.161,-0.329,-0.116,-0.864,-0.566,-0.5,-0.509,-0.292,-0.577
0.152,-0.331,-0.127,-0.871,-0.573,-0.51,-0.515,-0.296,-0.585
0.161,-0.325,-0.119,-0.87,-0.576,-0.508,-0.519,-0.288,-0.592
0.169,-0.328,-0.113,-0.87,-0.576,-0.512,-0.518,-0.291,-0.587
0.16,-0.332,-0.115,-0.877,-0.588,-0.517,-0.527,-0.294,-0.592
0.169,-0.326,-0.105,-0.87,-0.587,-0.512,-0.529,-0.289,-0.599
0.176,-0.32,-0.099,-0.863,-0.592,-0.515,-0.533,-0.291,-0.595
0.176,-0.321,-0.101,-0.864,-0.592,-0.513,-0.53,-0.287,-0.592
0.186,-0.316,-0.093,-0.859,-0.593,-0.513,-0.528,-0.28,-0.597
0.187,-0.309,-0.087,-0.855,-0.594,-0.512,-0.529,-0.272,-0.592
0.186,-0.319,-0.087,-0.863,-0.607,-0.522,-0.534,-0.281,-0.598
0.187,-0.317,-0.078,-0.853,-0.606,-0.521,-0.543,-0.281,-0.604
0.194,-0.311,-0.073,-0.846,-0.604,-0.519,-0.539,-0.273,-0.601
0.194,-0.303,-0.072,-0.842,-0.61,-0.517,-0.534,-0.264,-0.598
0.195,-0.305,-0.066,-0.833,-0.607,-0.516,-0.541,-0.269,-0.603
0.203,-0.302,-0.061,-0.832,-0.605,-0.523,-0.538,-0.264,-0.602
0.204,-0.295,-0.051,-0.825,-0.611,-0.517,-0.533,-0.255,-0.599
0.204,-0.287,-0.043,-0.812,-0.609,-0.513,-0.539,-0.26,-0.595
0.212,-0.289,-0.045,-0.81,-0.607,-0.519,-0.538,-0.256,-0.598
0.214,-0.287,-0.038,-0.804,-0.612,-0.513,-0.533,-0.247,-0.6
0.213,-0.278,-0.031,-0.793,-0.613,-0.51,-0.531,-0.242,-0.597
0.214,-0.272,-0.023,-0.78,-0.61,-0.516,-0.534,-0.245,-0.594
0.221,-0.267,-0.007,-0.769,-0.6,-0.502,-0.527,-0.233,-0.582
0.223,-0.259,-0.006,-0.762,-0.602,-0.497,-0.522,-0.226,-0.576
0.233,-0.252,0.001,-0.749,-0.604,-0.501,-0.515,-0.217,-0.579
0.233,-0.254,0.008,-0.736,-0.604,-0.496,-0.513,-0.21,-0.58
0.234,-0.251,0.017,-0.728,-0.599,-0.494,-0.517,-0.213,-0.579
0.243,-0.236,0.025,-0.703,-0.59,-0.49,-0.507,-0.201,-0.567
0.245,-0.225,0.032,-0.686,-0.587,-0.483,-0.503,-0.191,-0.561
0.246,-0.228,0.041,-0.685,-0.583,-0.481,-0.499,-0.184,-0.56
0.248,-0.225,0.051,-0.674,-0.581,-0.484,-0.495,-0.187,-0.556
0.248,-0.207,0.056,-0.653,-0.572,-0.473,-0.485,-0.175,-0.543
0.25,-0.199,0.066,-0.641,-0.567,-0.469,-0.477,-0.166,-0.541
0.251,-0.201,0.075,-0.625,-0.563,-0.462,-0.471,-0.158,-0.535
0.257,-0.187,0.08,-0.604,-0.555,-0.457,-0.469,-0.154,-0.524
0.262,-0.178,0.091,-0.59,-0.549,-0.457,-0.466,-0.148,-0.52
0.271,-0.171,0.108,-0.565,-0.537,-0.441,-0.453,-0.132,-0.506
0.265,-0.163,0.108,-0.549,-0.534,-0.433,-0.45,-0.123,-0.501
0.267,-0.156,0.117,-0.536,-0.531,-0.438,-0.445,-0.115,-0.498
0.275,-0.15,0.132,-0.513,-0.52,-0.429,-0.432,-0.109,-0.485
0.27,-0.141,0.135,-0.485,-0.516,-0.421,-0.428,-0.104,-0.48
0.278,-0.128,0.151,-0.455,-0.506,-0.409,-0.416,-0.09,-0.469
0.281,-0.125,0.161,-0.435,-0.501,-0.408,-0.408,-0.078,-0.461
0.282,-0.111,0.17,-0.41,-0.494,-0.401,-0.398,-0.064,-0.451
0.285,-0.103,0.18,-0.387,-0.482,-0.394,-0.391,-0.062,-0.444
0.286,-0.094,0.187,-0.362,-0.465,-0.379,-0.377,-0.05,-0.432
0.288,-0.085,0.198,-0.34,-0.462,-0.373,-0.374,-0.041,-0.427
0.29,-0.072,0.215,-0.312,-0.454,-0.366,-0.362,-0.025,-0.414
0.292,-0.067,0.219,-0.293,-0.438,-0.363,-0.346,-0.014,-0.408
0.292,-0.053,0.234,-0.267,-0.424,-0.352,-0.33,-0.008,-0.399
0.295,-0.054,0.238,-0.233,-0.421,-0.342,-0.323,-0.002,-0.391
0.297,-0.039,0.253,-0.198,-0.41,-0.33,-0.309,0.014,-0.375
0.304,-0.021,0.265,-0.168,-0.39,-0.323,-0.294,0.032,-0.356
0.303,-0.017,0.276,-0.141,-0.38,-0.316,-0.285,0.044,-0.345
0.311,-0.004,0.285,-0.111,-0.369,-0.307,-0.272,0.051,-0.339
